# b668ca57-72b4-493d-b531-42f6b8a83963
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 89630.6680550; 43131.0682145; 0.7865643; -0.0021754; 8.3299999; 0.0000002
0.4998519; 89630.3113785; 43131.4245144; 0.7851988; -0.0032451; 8.3299999; 0.0000002
0.9997039; 89629.9565352; 43131.7801428; 0.7832965; -0.0043315; 8.3300000; 0.0000002
1.4995558; 89629.6036545; 43132.1353443; 0.7808527; -0.0054332; 8.3300000; 0.0000002
1.9994078; 89629.2528657; 43132.4903636; 0.7778633; -0.0065488; 8.3300000; 0.0000002
2.4992597; 89628.9042983; 43132.8454451; 0.7743248; -0.0076767; 8.3300000; 0.0000002
2.9991116; 89628.5580815; 43133.2008335; 0.7702341; -0.0088151; 8.3300000; 0.0000000
3.4989636; 89628.2099727; 43133.5612915; 0.7656879; -0.0091640; 8.3300000; 0.0000000
3.9988155; 89627.8632530; 43133.9236269; 0.7610580; -0.0092991; 8.3300000; 0.0000000
4.4986675; 89627.5189864; 43134.2867698; 0.7563728; -0.0094255; 8.3300000; 0.0000000
4.9985194; 89627.1770983; 43134.6508241; 0.7516358; -0.0095428; 8.3300000; 0.0000000
5.4983713; 89626.8375134; 43135.0158937; 0.7468505; -0.0096506; 8.3300000; 0.0000000
5.9982233; 89626.5001571; 43135.3820823; 0.7420207; -0.0097485; 8.3300000; 0.0000000
6.4980752; 89626.1636156; 43135.7509668; 0.7371394; -0.0097845; 8.3300000; 0.0000000
6.9979271; 89625.8285341; 43136.1218757; 0.7322483; -0.0097836; 8.3300000; 0.0000000
7.4977791; 89625.4954156; 43136.4942555; 0.7273631; -0.0097692; 8.3300000; 0.0000000
7.9976310; 89625.1641461; 43136.8682253; 0.7224889; -0.0097412; 8.3300000; 0.0000000
8.4974830; 89624.8346118; 43137.2439039; 0.7176307; -0.0096997; 8.3300000; 0.0000000
8.9973349; 89624.5066988; 43137.6214106; 0.7127937; -0.0096448; 8.3300000; 0.0000000
9.4971868; 89624.1809119; 43138.0001549; 0.7079058; -0.0101400; 8.3300000; 0.0000000
9.9970388; 89623.8571245; 43138.3804578; 0.7026282; -0.0109937; 8.3300000; 0.0000000
10.4968907; 89623.5352073; 43138.7627994; 0.6969183; -0.0118557; 8.3300000; 0.0000000
10.9967427; 89623.2154180; 43139.1472156; 0.6907724; -0.0127276; 8.3300000; 0.0000000
11.4965946; 89622.8980143; 43139.5337422; 0.6841864; -0.0136108; 8.3300000; 0.0000000
11.9964465; 89622.5832541; 43139.9224150; 0.6771555; -0.0145070; 8.3300000; 0.0000000
12.4962985; 89622.2707822; 43140.3140327; 0.6697384; -0.0148174; 8.3300000; 0.0000000
12.9961504; 89621.9608546; 43140.7084279; 0.6623608; -0.0146037; 8.3300000; 0.0000000
13.4960024; 89621.6541613; 43141.1046453; 0.6550911; -0.0144191; 8.3300000; 0.0000000
13.9958543; 89621.3508250; 43141.5024263; 0.6479183; -0.0142630; 8.3300000; 0.0000000
14.4957062; 89621.0509686; 43141.9015122; 0.6408315; -0.0141350; 8.3300000; 0.0000000
14.9955582; 89620.7547151; 43142.3016445; 0.6338202; -0.0140350; 8.3300000; 0.0000000
15.4954101; 89620.4598357; 43142.7058143; 0.6267924; -0.0141829; 8.3300000; 0.0000000
15.9952621; 89620.1660413; 43143.1145823; 0.6195460; -0.0146085; 8.3300000; 0.0000000
16.4951140; 89619.8762734; 43143.5240577; 0.6121098; -0.0150407; 8.3300000; 0.0000000
16.9949659; 89619.5905987; 43143.9342668; 0.6044819; -0.0154795; 8.3300000; 0.0000000
17.4948179; 89619.3090840; 43144.3452356; 0.5966603; -0.0159248; 8.3300000; 0.0000000
17.9946698; 89619.0317960; 43144.7569903; 0.5886432; -0.0163762; 8.3300000; 0.0000000
18.4945218; 89618.7562822; 43145.1733900; 0.5804106; -0.0163592; 8.3300000; 0.0000000
18.9943737; 89618.4825011; 43145.5946196; 0.5723237; -0.0158296; 8.3300000; 0.0000000
19.4942256; 89618.2128838; 43146.0167401; 0.5645337; -0.0152709; 8.3300000; 0.0000000
19.9940776; 89617.9472102; 43146.4397742; 0.5570505; -0.0146848; 8.3300000; 0.0000000
20.4939295; 89617.6852597; 43146.8637448; 0.5498834; -0.0140730; 8.3300000; 0.0000000
20.9937814; 89617.4268121; 43147.2886748; 0.5430412; -0.0134374; 8.3300000; -0.7494468
21.4936334; 89617.1721397; 43147.7137820; 0.5364318; -0.0134817; 8.2849065; -1.1632695
21.9934853; 89616.9205912; 43148.1401049; 0.5296723; -0.0138062; 8.2144233; -1.1533308
22.4933373; 89616.6713402; 43148.5692103; 0.5227695; -0.0139899; 8.1439401; -1.1433922
22.9931892; 89616.4238466; 43149.0021949; 0.5157762; -0.0140309; 8.0734570; -1.1334535
23.4930411; 89616.1775704; 43149.4401554; 0.5087455; -0.0139320; 8.0029738; -1.1235148
23.9928931; 89615.9319714; 43149.8841883; 0.5017294; -0.0137007; 7.9324906; -1.9081802
24.4927450; 89615.6971875; 43150.3157931; 0.4943673; -0.0171375; 7.8113246; -2.1114907
